id,teams,previous_experience,hobbies,sports
emp_001,team_02,Expert.,"Hobbies for learning, reading, and curiosity.",tennis
emp_002,team_01,Novice.,"Hobbies for arts, creativity, and imagination.",volleyball
emp_003,team_03,Advanced beginner.,"Hobbies for fitness, health, and wellbeing.",volleyball
emp_004,team_04,Competent.,"Hobbies for money, assets, and content creation.",tennis
emp_005,team_05,Proficient.,"Hobbies for fitness, health, and wellbeing.",swimming
emp_006,team_05,Expert.,"Hobbies for learning, reading, and curiosity.",tennis
emp_007,team_03,Competent.,"Hobbies for fitness, health, and wellbeing.",swimming
emp_008,team_02,Proficient.,"Hobbies for learning, reading, and curiosity.",hiking
emp_009,team_02,Novice.,"Hobbies for learning, reading, and curiosity.",cricket
emp_010,team_01,Advanced beginner.,"Hobbies for fitness, health, and wellbeing.",football
emp_011,team_01,Novice.,"Hobbies for fitness, health, and wellbeing.",volleyball
emp_012,team_02,Advanced beginner.,"Hobbies for fitness, health, and wellbeing.",basketball
emp_013,team_05,Competent.,"Hobbies for arts, creativity, and imagination.",swimming
emp_014,team_04,Proficient.,"Hobbies for learning, reading, and curiosity.",swimming
emp_015,team_01,Expert.,"Hobbies for learning, reading, and curiosity.",swimming
emp_016,team_04,Competent.,"Hobbies for learning, reading, and curiosity.",hiking
emp_017,team_03,Expert.,"Hobbies for fitness, health, and wellbeing.",cricket
emp_018,team_05,Proficient.,"Hobbies for arts, creativity, and imagination.",tennis
emp_019,team_01,Novice.,"Hobbies for fitness, health, and wellbeing.",volleyball
emp_020,team_02,Expert.,"Hobbies for fitness, health, and wellbeing.",volleyball
emp_021,team_03,Novice.,"Hobbies for learning, reading, and curiosity.",tennis
emp_022,team_04,Advanced beginner.,"Hobbies for fitness, health, and wellbeing.",swimming
emp_023,team_01,Competent.,"Hobbies for arts, creativity, and imagination.",cricket
emp_024,team_04,Competent.,"Hobbies for fitness, health, and wellbeing.",swimming
emp_025,team_03,Competent.,"Hobbies for arts, creativity, and imagination.",swimming
emp_026,team_05,Novice.,"Hobbies for fitness, health, and wellbeing.",football
emp_027,team_01,Advanced beginner.,"Hobbies for arts, creativity, and imagination.",tennis
emp_028,team_04,Competent.,"Hobbies for fitness, health, and wellbeing.",tennis
emp_029,team_03,Novice.,"Hobbies for arts, creativity, and imagination.",tennis
emp_030,team_03,Competent.,"Hobbies for fitness, health, and wellbeing.",basketball
emp_031,team_02,Competent.,"Hobbies for fitness, health, and wellbeing.",tennis
emp_032,team_05,Competent.,"Hobbies for money, assets, and content creation.",tennis
emp_033,team_03,Advanced beginner.,"Hobbies for arts, creativity, and imagination.",volleyball
